Title,Release Date,Badge Score
Basilisk,2005,7.55
Beyblade Burst,2016,6.46
Den-noh Coil,2007,8.05
Barrier Master,2006,7.60
Kiba,2006,7.29
hack - Roots,2006,6.88
hack - Legend Of The Twilight,2003,6.56
Persona 4 the Animation,2011,7.50
Moribito - Guardian of the Spirit,2007,8.14
"Now and Then, Here and There",1999,7.62
Sunday Without God,2013,7.31
Michiko & Hatchin,2008,7.84
Jing: King of Bandits,2002,7.20
